BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Will Jacks,true,Overseas,MI,Mumbai Indians,2,203,1,17,2023-100mb00000001941-9401571cc40411,24,32,7,29.16,18,32.00,24.00,24.00,37.50,12.00,8.00,4.0,13,2,0,0,2,1,0,0,0,1,32,1,32,1,32/1,32/1,0,0,0,0,0,5629
Ravindra Jadeja,false,Indian,CSK,Chennai Super Kings,3,203,3,13,2018-100mb00000000046-06b5ba89f88b11,48,68,16,33.33,33,68.00,48.00,48.00,58.82,6.00,8.50,8.0,21,3,0,4,4,1,0,0,0,1,10,1,10,1,10/1,10/1,0,0,0,0,0,9
Lockie Ferguson,true,Overseas,PBKS,Punjab Kings,1,203,1,15,2019-100mb00000000069-7aeb5c411e3711,18,26,7,38.88,12,26.00,18.00,18.00,61.53,6.00,8.66,3.0,8,0,0,1,2,1,0,0,1,1,26,1,26,1,26/1,26/1,0,0,0,0,0,3729
Nathan Ellis,true,Overseas,CSK,Chennai Super Kings,1,203,1,13,2021-100mb00000000633-40c59a2c160011,24,38,6,25.00,19,38.00,24.00,24.00,47.36,6.00,9.50,4.0,9,5,0,3,1,1,0,0,1,1,38,1,38,1,38/1,38/1,0,0,0,0,0,17118
Prince Yadav,true,Indian,LSG,Lucknow Super Giants,2,203,2,77,2022-100mb00000001225-8dbd714d040c11,48,76,12,25.00,41,76.00,48.00,48.00,52.63,5.33,9.50,8.0,23,4,0,7,2,5,0,0,0,1,29,1,29,1,29/1,29/1,0,0,0,0,0,22097
Mohit Sharma,true,Indian,DC,Delhi Capitals,2,203,2,14,2019-100mb00000000100-f196053e43f611,42,67,11,26.19,36,67.00,42.00,42.00,53.73,5.25,9.57,7.0,22,2,0,6,2,4,1,0,1,1,25,1,25,1,25/1,25/1,0,0,0,0,0,1107
Mukesh Kumar,true,Indian,DC,Delhi Capitals,2,203,2,14,2022-100mb00000001462-cbc59298427c11,24,39,7,29.16,20,39.00,24.00,24.00,61.53,4.80,9.75,4.0,12,0,0,3,2,3,0,0,0,1,22,1,22,1,22/1,22/1,0,0,0,0,0,5622
Suyash Sharma,true,Indian,RCB,Royal Challengers Bengaluru,2,203,2,19,2023-100mb00000001932-5539f1d7c3fd11,48,79,18,37.50,32,79.00,48.00,48.00,70.88,4.00,9.87,8.0,15,3,0,8,4,2,0,1,0,1,47,1,47,1,47/1,47/1,0,0,0,0,0,5668
Yuzvendra Chahal,true,Indian,PBKS,Punjab Kings,2,203,2,15,2018-100mb00000000010-b76159ade99b11,42,70,12,28.57,31,70.00,42.00,42.00,68.57,4.20,10.00,7.0,19,1,0,6,4,1,0,0,1,1,36,1,36,1,36/1,36/1,0,0,0,0,0,111
Spencer Johnson,false,Overseas,KKR,Kolkata Knight Riders,3,203,3,16,2023-100mb00000002518-9a5f0c5357b311,50,87,23,46.00,30,87.00,50.00,50.00,78.16,3.57,10.44,8.2,10,3,0,8,6,3,0,0,1,1,42,1,42,1,42/1,42/1,0,0,0,0,0,20699
Avesh Khan,true,Indian,LSG,Lucknow Super Giants,2,203,2,77,2019-100mb00000000109-5cc123ab449411,42,75,10,23.80,33,75.00,42.00,42.00,66.66,4.20,10.71,7.0,20,2,0,5,5,1,0,0,0,1,45,1,45,1,45/1,45/1,0,0,0,0,0,1561
Ishant Sharma,true,Indian,GT,Gujarat Titans,2,203,2,35,2018-100mb00000000050-4663b710f88b11,24,44,9,37.50,17,44.00,24.00,24.00,72.72,3.42,11.00,4.0,6,2,0,5,2,2,0,0,0,1,27,1,27,1,27/1,27/1,0,0,0,0,0,38
Rashid Khan,true,Overseas,GT,Gujarat Titans,3,203,3,35,2019-100mb00000000218-42d9d6f544bf11,60,112,18,30.00,43,112.00,60.00,60.00,71.42,4.00,11.20,10.0,23,4,0,5,10,1,0,0,1,1,48,1,48,1,48/1,48/1,0,0,0,0,0,2885
Rasikh Dar,true,Indian,RCB,Royal Challengers Bengaluru,2,203,2,19,2019-100mb00000000172-1befbbeb44af11,36,70,14,38.88,24,70.00,36.00,36.00,82.85,3.00,11.66,6.0,10,0,0,7,5,2,0,0,1,1,35,1,35,1,35/1,35/1,0,0,0,0,0,20577
Mohd Arshad Khan,false,Indian,GT,Gujarat Titans,2,203,2,35,2022-100mb00000000988-ad5c752aa44a11,18,38,7,38.88,13,38.00,18.00,18.00,78.94,2.57,12.66,3.0,2,2,0,6,1,2,0,0,1,1,17,1,17,1,17/1,17/1,0,0,0,0,0,20599
Jofra Archer,true,Overseas,RR,Rajasthan Royals,3,203,3,18,2019-100mb00000000181-80151ce844b611,57,122,21,36.84,42,122.00,57.00,57.00,85.24,2.59,12.84,9.3,15,0,0,14,8,6,1,4,0,1,13,1,13,1,13/1,13/1,1,1,0,0,0,3502
V Satyanarayana Penmetsa,true,Indian,MI,Mumbai Indians,2,203,2,17,2024-100mb00000003568-0e9ff925abdc11,24,53,4,16.66,25,53.00,24.00,24.00,64.15,3.42,13.25,4.0,12,1,0,4,3,5,0,1,0,1,40,1,40,1,40/1,40/1,0,0,0,0,0,22161
Vipraj Nigam,true,Indian,DC,Delhi Capitals,2,203,2,14,2024-100mb00000003560-cd0dc81babd711,24,56,5,20.83,21,56.00,24.00,24.00,75.00,3.00,14.00,4.0,12,0,0,3,5,1,1,0,0,1,35,1,35,1,35/1,35/1,0,0,0,0,0,22053
Mujeeb-ur-Rahman,true,Overseas,MI,Mumbai Indians,1,203,1,17,2019-100mb00000000134-807a8157449b11,12,28,4,33.33,9,28.00,12.00,12.00,78.57,2.40,14.00,2.0,3,1,0,4,1,1,0,0,0,1,28,1,28,1,28/1,28/1,0,0,0,0,0,4572
