StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Ryan Rickelton,743,3,0000-00-00,false,Overseas,203,2021-100mb00000000743-056fd8cd648611,17,MI,Mumbai Indians,203,17,2021-100mb00000000743-056fd8cd648611,3,5,81,57,26,142.10,45.61,2.19,4.38,76.54,2.61,31,17,1,0,8,5,2,1,81.00,1,0,0,62*,40.50,3,0,22003
Faf Du Plessis,94,2,0000-00-00,true,Overseas,203,2019-100mb00000000094-1e8fa14543ee11,14,DC,Delhi Capitals,203,14,2019-100mb00000000094-1e8fa14543ee11,2,11,79,45,13,175.55,28.88,3.46,4.09,68.35,2.46,32,17,4,0,6,5,2,0,NA,1,0,0,50,39.50,3,0,24
Angkrish Raghuvanshi,787,3,2004-06-06,true,Indian,203,20214a2b63d55d7711ec9c9202ea608,16,KKR,Kolkata Knight Riders,203,16,20214a2b63d55d7711ec9c9202ea608,3,0,78,55,10,141.81,18.18,5.50,6.11,51.28,1.73,45,34,2,0,7,2,2,1,78.00,0,0,0,30,39.00,1,0,20690
Ravindra Jadeja,46,3,0000-00-00,false,Indian,203,2018-100mb00000000046-06b5ba89f88b11,13,CSK,Chennai Super Kings,203,13,2018-100mb00000000046-06b5ba89f88b11,3,3,74,59,16,125.42,27.11,3.68,8.42,43.24,1.72,43,30,6,0,5,2,2,1,74.00,0,0,0,32*,37.00,2,0,9
Shubman Gill,62,2,0000-00-00,true,Indian,203,2019-100mb00000000062-8fa4884a17f311,35,GT,Gujarat Titans,203,35,2019-100mb00000000062-8fa4884a17f311,2,1,71,41,14,173.17,34.14,2.92,4.10,67.60,2.62,27,11,6,0,6,4,2,0,NA,0,0,0,38,35.50,1,0,3761
N Tilak Varma,993,3,0000-00-00,false,Indian,203,2022-100mb00000000993-60c58f9ea44c11,17,MI,Mumbai Indians,203,17,2022-100mb00000000993-60c58f9ea44c11,2,9,70,61,26,114.75,42.62,2.34,7.62,54.28,2.00,35,23,3,1,5,3,2,0,NA,0,0,0,39,35.00,3,0,20594
Shimron Hetmyer,210,3,0000-00-00,false,Overseas,203,2019-100mb00000000210-b8addb3444bb11,18,RR,Rajasthan Royals,203,18,2019-100mb00000000210-b8addb3444bb11,3,7,68,47,17,144.68,36.17,2.76,5.87,61.76,2.26,30,18,4,0,3,5,3,0,NA,0,0,0,42,22.67,3,0,1705
Ashutosh Sharma,3109,1,0000-00-00,true,Indian,203,2024-100mb00000003109-b7f98c40df9d11,14,DC,Delhi Capitals,203,14,2024-100mb00000003109-b7f98c40df9d11,1,0,66,31,7,212.90,22.58,4.42,3.10,75.75,2.75,24,12,2,0,5,5,0,1,66.00,1,0,0,66*,-,0,0,20703
Riyan Parag,189,3,0000-00-00,true,Indian,203,2019-100mb00000000189-ac8c327a44b711,18,RR,Rajasthan Royals,203,18,2019-100mb00000000189-ac8c327a44b711,3,3,66,45,15,146.66,33.33,3.00,5.62,63.63,2.20,30,20,2,0,3,5,3,0,NA,0,0,0,37,22.00,3,0,4445
Sherfane Rutherford,122,2,0000-00-00,false,Overseas,203,2019-100mb00000000122-ba35f672449711,35,GT,Gujarat Titans,203,35,2019-100mb00000000122-ba35f672449711,2,10,64,39,14,164.10,35.89,2.78,4.33,71.87,2.56,25,14,2,0,4,5,2,0,NA,0,0,0,46,32.00,0,0,5396
Nitish Kumar Reddy,1944,3,0000-00-00,true,Indian,203,2023-100mb00000001944-c9a4b0e8c40511,20,SRH,Sunrisers Hyderabad,203,20,2023-100mb00000001944-c9a4b0e8c40511,3,9,62,45,12,137.77,26.66,3.75,6.42,48.38,1.87,33,21,4,1,6,1,3,0,NA,0,0,0,32,20.67,1,0,5711
Tristan Stubbs,1017,2,0000-00-00,true,Overseas,203,2022-100mb00000001017-3e376712cc7911,14,DC,Delhi Capitals,203,14,2022-100mb00000001017-3e376712cc7911,2,1,55,36,8,152.77,22.22,4.50,5.14,61.81,1.96,28,21,0,0,4,3,1,1,55.00,0,0,0,34,55.00,3,0,20631
Priyansh Arya,3571,1,0000-00-00,false,Indian,203,2024-100mb00000003571-3dc322afabdd11,15,PBKS,Punjab Kings,203,15,2024-100mb00000003571-3dc322afabdd11,1,6,47,23,9,204.34,39.13,2.55,2.55,85.10,3.35,14,3,2,0,7,2,1,0,NA,0,0,0,47,47.00,1,0,22052
MS Dhoni,57,3,0000-00-00,true,Indian,203,2019-100mb00000000057-57100cf415ba11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000057-57100cf415ba11,3,1,46,29,11,158.62,37.93,2.63,4.14,73.91,2.55,18,10,1,0,4,3,1,2,23.00,0,0,0,30*,46.00,0,3,1
Shivam Dube,211,3,0000-00-00,false,Indian,203,2019-100mb00000000211-dc1f6a2544bb11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000211-dc1f6a2544bb11,3,4,46,32,15,143.75,46.87,2.13,4.57,78.26,2.70,17,10,0,0,3,4,3,0,NA,0,0,0,19,15.33,2,0,5431
Shashank Singh,191,1,0000-00-00,true,Indian,203,2019-100mb00000000191-df21803b44b711,15,PBKS,Punjab Kings,203,15,2019-100mb00000000191-df21803b44b711,1,2,44,16,2,275.00,12.50,8.00,2.00,81.81,3.14,14,4,2,0,6,2,0,1,44.00,0,0,0,44*,-,1,0,3261
Sunil Narine,156,2,0000-00-00,false,Overseas,203,2019-100mb00000000156-a6b6f42c44aa11,16,KKR,Kolkata Knight Riders,203,16,2019-100mb00000000156-a6b6f42c44aa11,2,2,44,28,15,157.14,53.57,1.86,3.50,86.36,3.38,13,4,1,0,5,3,2,0,NA,0,0,0,44,22.00,0,0,203
Shubham Dubey,3112,2,0000-00-00,false,Indian,203,2024-100mb00000003112-76787b7ddf9f11,18,RR,Rajasthan Royals,203,18,2024-100mb00000003112-76787b7ddf9f11,2,1,43,23,6,186.95,26.08,3.83,3.83,74.41,2.52,17,11,0,0,2,4,1,1,43.00,0,0,0,34*,43.00,0,0,20688
David Miller,128,2,0000-00-00,false,Overseas,203,2019-100mb00000000128-e95bebea449911,77,LSG,Lucknow Super Giants,203,77,2019-100mb00000000128-e95bebea449911,2,3,40,26,6,153.84,23.07,4.33,5.20,60.00,2.00,20,14,1,0,3,2,0,2,20.00,0,0,0,27*,-,2,0,187
Vipraj Nigam,3560,2,0000-00-00,true,Indian,203,2024-100mb00000003560-cd0dc81babd711,14,DC,Delhi Capitals,203,14,2024-100mb00000003560-cd0dc81babd711,1,1,39,15,1,260.00,6.66,15.00,2.14,82.05,2.78,14,7,0,0,5,2,1,0,NA,0,0,0,39,39.00,1,0,22053
Jake Fraser - McGurk,3115,2,0000-00-00,true,Overseas,203,2024-100mb00000003115-5afd8ccce29e11,14,DC,Delhi Capitals,203,14,2024-100mb00000003115-5afd8ccce29e11,2,2,39,34,19,114.70,55.88,1.78,5.66,71.79,2.60,15,7,2,0,4,2,2,0,NA,0,0,0,38,19.50,2,0,20720
Devdutt Padikkal,200,2,0000-00-00,false,Indian,203,2019-100mb00000000200-1283ad3244ba11,19,RCB,Royal Challengers Bengaluru,203,19,2019-100mb00000000200-1283ad3244ba11,2,2,37,24,8,154.16,33.33,3.00,4.80,64.86,2.31,16,9,2,0,3,2,2,0,NA,0,0,0,27,18.50,0,0,5430
Naman Dhir,3107,3,0000-00-00,true,Indian,203,2024-100mb00000003107-805cae57df9b11,17,MI,Mumbai Indians,203,17,2024-100mb00000003107-805cae57df9b11,2,1,35,23,3,152.17,13.04,7.66,5.75,45.71,1.75,20,13,3,0,4,0,1,1,35.00,0,0,0,18*,35.00,4,0,20701
Abishek Porel,1580,2,0000-00-00,false,Indian,203,2022-100mb00000001580-2e206f715b5511,14,DC,Delhi Capitals,203,14,2022-100mb00000001580-2e206f715b5511,2,0,34,20,2,170.00,10.00,10.00,5.00,58.82,1.88,18,14,0,0,2,2,1,1,34.00,0,0,0,34*,34.00,0,0,33333
Yashasvi Jaiswal,533,3,0000-00-00,false,Indian,203,2020-100mb00000000533-e895f279639811,18,RR,Rajasthan Royals,203,18,2020-100mb00000000533-e895f279639811,3,5,34,32,17,106.25,53.12,1.88,6.40,70.58,2.26,15,10,0,0,3,2,3,0,NA,0,0,0,29,11.33,3,0,13538
Abhishek Sharma,212,3,0000-00-00,false,Indian,203,2019-100mb00000000212-9df3a24d44bc11,20,SRH,Sunrisers Hyderabad,203,20,2019-100mb00000000212-9df3a24d44bc11,3,0,31,18,6,172.22,33.33,3.00,3.00,77.41,2.58,12,5,1,0,6,0,3,0,NA,0,0,0,24,10.33,0,0,3760
Rahul Tripathi,188,3,0000-00-00,true,Indian,203,2019-100mb00000000188-896b509b44b711,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000188-896b509b44b711,3,0,30,25,12,120.00,48.00,2.08,5.00,73.33,2.30,13,8,0,0,4,1,3,0,NA,0,0,0,23,10.00,0,0,3838
Mitchell Santner,75,3,0000-00-00,false,Overseas,203,2019-100mb00000000075-0984e17e1e4011,17,MI,Mumbai Indians,203,17,2019-100mb00000000075-0984e17e1e4011,2,2,29,22,9,131.81,40.90,2.44,5.50,68.96,2.23,13,9,0,0,2,2,1,1,29.00,0,0,0,18*,29.00,1,0,1903
Rinku Singh,152,3,0000-00-00,false,Indian,203,2019-100mb00000000152-335aed3d44aa11,16,KKR,Kolkata Knight Riders,203,16,2019-100mb00000000152-335aed3d44aa11,2,0,29,24,8,120.83,33.33,3.00,8.00,48.27,1.81,16,11,2,0,2,1,2,0,NA,0,0,0,17,14.50,1,0,3830
Deepak Chahar,91,3,0000-00-00,true,Indian,203,2019-100mb00000000091-8640595343ec11,17,MI,Mumbai Indians,203,17,2019-100mb00000000091-8640595343ec11,1,1,28,15,5,186.66,33.33,3.00,3.75,71.42,2.80,10,4,2,0,2,2,0,1,28.00,0,0,0,28*,-,0,0,140
Ramandeep Singh,991,3,0000-00-00,true,Indian,203,2022-100mb00000000991-d9fbad51a44b11,16,KKR,Kolkata Knight Riders,203,16,2022-100mb00000000991-d9fbad51a44b11,2,3,28,21,7,133.33,33.33,3.00,7.00,57.14,2.00,14,10,1,0,1,2,1,1,28.00,0,0,0,22,28.00,1,0,20595
Will Jacks,1941,2,0000-00-00,true,Overseas,203,2023-100mb00000001941-9401571cc40411,17,MI,Mumbai Indians,203,17,2023-100mb00000001941-9401571cc40411,2,0,27,24,9,112.50,37.50,2.66,8.00,51.85,1.80,15,11,1,0,2,1,2,0,NA,0,0,0,16,13.50,1,0,5629
