StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Ravichandran Ashwin,45,3,0000-00-00,true,Indian,203,2018-100mb00000000045-f658f1b6f88a11,13,CSK,Chennai Super Kings,203,13,2018-100mb00000000045-f658f1b6f88a11,1,0,11,8,1,137.50,12.50,8.00,8.00,36.36,1.57,7,5,1,0,1,0,1,0,NA,0,0,0,11,11.00,2,0,8
Hardik Pandya,54,2,0000-00-00,true,Indian,203,2018-100mb00000000054-e3ebefa2050a11,17,MI,Mumbai Indians,203,17,2018-100mb00000000054-e3ebefa2050a11,1,0,11,17,10,64.70,58.82,1.70,17.00,36.36,1.57,7,5,1,0,1,0,1,0,NA,0,0,0,11,11.00,2,0,2740
Ayush Badoni,985,2,0000-00-00,true,Indian,203,2022-100mb00000000985-f5950061a44811,77,LSG,Lucknow Super Giants,203,77,2022-100mb00000000985-f5950061a44811,2,0,10,11,4,90.90,36.36,2.75,11.00,40.00,1.42,7,6,0,0,1,0,2,0,NA,0,0,0,6,5.00,2,0,20586
Vijay Shankar,61,1,0000-00-00,true,Indian,203,2019-100mb00000000061-6d68257c17f311,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000061-6d68257c17f311,1,0,9,6,2,150.00,33.33,3.00,6.00,66.66,2.25,4,3,0,0,0,1,1,0,NA,0,0,0,9,9.00,1,0,1083
Shahbaz Ahmed,523,1,0000-00-00,false,Indian,203,2020-100mb00000000523-53bc4c09638b11,77,LSG,Lucknow Super Giants,203,77,2020-100mb00000000523-53bc4c09638b11,1,0,9,8,2,112.50,25.00,4.00,8.00,44.44,1.50,6,5,0,0,1,0,1,0,NA,0,0,0,9,9.00,0,0,13803
Wiaan Mulder,630,1,0000-00-00,true,Overseas,203,2021-100mb00000000630-4155e6ff0bd311,20,SRH,Sunrisers Hyderabad,203,20,2021-100mb00000000630-4155e6ff0bd311,1,1,9,11,5,81.81,45.45,2.20,11.00,44.44,1.50,6,5,0,0,1,0,1,0,NA,0,0,0,9,9.00,1,0,22376
Harshit Rana,1013,3,0000-00-00,true,Indian,203,2022-100mb00000001013-30676520bcc011,16,KKR,Kolkata Knight Riders,203,16,2022-100mb00000001013-30676520bcc011,2,1,9,14,10,64.28,71.42,1.40,14.00,44.44,2.25,4,2,0,1,1,0,2,0,NA,0,0,0,5,4.50,2,0,20626
Andre Russell,141,3,0000-00-00,true,Overseas,203,2019-100mb00000000141-e67c41d144a711,16,KKR,Kolkata Knight Riders,203,16,2019-100mb00000000141-e67c41d144a711,2,3,9,14,11,64.28,78.57,1.27,7.00,88.88,3.00,3,1,0,0,2,0,2,0,NA,0,0,0,5,4.50,1,0,177
Venkatesh Iyer,584,3,0000-00-00,false,Indian,203,2021-100mb00000000584-a3f48c1791dd11,16,KKR,Kolkata Knight Riders,203,16,2021-100mb00000000584-a3f48c1791dd11,2,1,9,16,11,56.25,68.75,1.45,16.00,44.44,1.80,5,3,1,0,1,0,2,0,NA,0,0,0,6,4.50,0,0,8540
Wanindu Hasaranga,377,2,0000-00-00,true,Overseas,203,2020-100mb00000000377-c8cec37e2dec11,18,RR,Rajasthan Royals,203,18,2020-100mb00000000377-c8cec37e2dec11,2,0,8,9,3,88.88,33.33,3.00,0.00,0.00,1.33,6,4,2,0,0,0,2,0,NA,0,0,0,4,4.00,0,0,3082
